time_ms;diff_ms;c;cust_count;iteration;min_c;max_c
64022;19220;18.83125;938.0;5;0;0 
83044;19021;21.953125;885.0;6;0;0 
86953;3908;23.5140625;264.0;7;0;0 
105979;19026;22.73359375;839.0;8;0;0 
110653;4674;23.123828125000003;264.0;9;0;0 
148787;38133;22.9287109375;826.0;10;0;0 
168133;19346;23.02626953125;826.0;11;0;0 
187251;19117;23.075048828125002;826.0;12;0;0 
192272;5020;23.099438476562504;274.0;13;0;0 
211493;19221;23.08724365234375;826.0;14;0;0 
230768;19273;23.093341064453128;826.0;15;0;0 
time_ms;diff_ms;c;cust_count;iteration;min_c;max_c
19074;19074;0.1;1000.0;1;0;0 
21947;2873;50.05;0.0;2;0;0 
25840;3892;25.075;209.0;3;0;0 
45552;19711;12.5875;1000.0;4;0;0 
64809;19256;18.83125;938.0;5;0;0 
84223;19413;21.953125;885.0;6;0;0 
88024;3800;23.5140625;264.0;7;0;0 
107388;19363;22.73359375;839.0;8;0;0 
111958;4569;23.123828125000003;264.0;9;0;0 
131484;19525;22.9287109375;826.0;10;0;0 
150668;19183;23.02626953125;826.0;11;0;0 
169990;19321;23.075048828125002;826.0;12;0;0 
174882;4891;23.099438476562504;274.0;13;0;0 
194100;19217;23.08724365234375;826.0;14;0;0 
213322;19221;23.093341064453128;826.0;15;0;0 
time_ms;diff_ms;c;cust_count;iteration;min_c;max_c
19177;19177;0.1;1000.0;1;0;0 
21827;2648;50.05;0.0;2;0;0 
25180;3352;25.075;209.0;3;0;0 
44374;19194;12.5875;1000.0;4;0;0 
63504;19129;18.83125;938.0;5;0;0 
82725;19221;21.953125;885.0;6;0;0 
86600;3874;23.5140625;264.0;7;0;0 
105891;19289;22.73359375;839.0;8;0;0 
110562;4671;23.123828125000003;264.0;9;0;0 
129716;19153;22.9287109375;826.0;10;0;0 
148868;19152;23.02626953125;826.0;11;0;0 
167921;19053;23.075048828125002;826.0;12;0;0 
172753;4832;23.099438476562504;274.0;13;0;0 
191955;19201;23.08724365234375;826.0;14;0;0 
210965;19010;23.093341064453128;826.0;15;0;0 
time_ms;diff_ms;c;cust_count;iteration;min_c;max_c
19085;19085;0.1;1000.0;1;0;0 
21801;2714;50.05;0.0;2;0;0 
25259;3456;25.075;209.0;3;0;0 
44284;19025;12.5875;1000.0;4;0;0 
63367;19083;18.83125;938.0;5;0;0 
82399;19031;21.953125;885.0;6;0;0 
86276;3877;23.5140625;264.0;7;0;0 
105067;18789;22.73359375;839.0;8;0;0 
109601;4533;23.123828125000003;264.0;9;0;0 
128876;19273;22.9287109375;826.0;10;0;0 
148178;19302;23.02626953125;826.0;11;0;0 
167333;19153;23.075048828125002;826.0;12;0;0 
172329;4996;23.099438476562504;274.0;13;0;0 
191439;19108;23.08724365234375;826.0;14;0;0 
210616;19176;23.093341064453128;826.0;15;0;0 
time_ms;diff_ms;c;cust_count;iteration;min_c;max_c
19053;19052;0.1;1000.0;1;0;0 
21773;2720;50.05;0.0;2;0;0 
25218;3443;25.075;209.0;3;0;0 
44581;19363;12.5875;1000.0;4;0;0 
63900;19318;18.83125;938.0;5;0;0 
83160;19259;21.953125;885.0;6;0;0 
86999;3838;23.5140625;264.0;7;0;0 
106249;19250;22.73359375;839.0;8;0;0 
110864;4615;23.123828125000003;264.0;9;0;0 
130157;19291;22.9287109375;826.0;10;0;0 
155419;25261;23.02626953125;826.0;11;0;0 
187548;32128;23.075048828125002;826.0;12;0;0 
192522;4972;23.099438476562504;274.0;13;0;0 
211808;19286;23.08724365234375;826.0;14;0;0 
231010;19201;23.093341064453128;826.0;15;0;0 
time_ms;diff_ms;c;cust_count;iteration;min_c;max_c
21886;21885;0.1;1000.0;1;0;0 
24815;2927;50.05;0.0;2;0;0 
28680;3864;25.075;209.0;3;0;0 
50391;21710;12.5875;1000.0;4;0;0 
71529;21136;18.83125;938.0;5;0;0 
102584;31053;21.953125;885.0;6;0;0 
116802;14218;23.5140625;264.0;7;0;0 
161897;45094;22.73359375;839.0;8;0;0 
172067;10170;23.123828125000003;264.0;9;0;0 
213632;41565;22.9287109375;826.0;10;0;0 
250323;36689;23.02626953125;826.0;11;0;0 
272991;22667;23.075048828125002;826.0;12;0;0 
278813;5821;23.099438476562504;274.0;13;0;0 
301511;22697;23.08724365234375;826.0;14;0;0 
324770;23257;23.093341064453128;826.0;15;0;0 
time_ms;diff_ms;c;cust_count;iteration;min_c;max_c
23248;23248;0.1;1000.0;1;0;0 
26431;3182;50.05;0.0;2;0;0 
30611;4179;25.075;209.0;3;0;0 
53631;23018;12.5875;1000.0;4;0;0 
77105;23473;18.83125;938.0;5;0;0 
100470;23363;21.953125;885.0;6;0;0 
105132;4661;23.5140625;264.0;7;0;0 
128076;22943;22.73359375;839.0;8;0;0 
133490;5413;23.123828125000003;264.0;9;0;0 
156971;23480;22.9287109375;826.0;10;0;0 
180305;23332;23.02626953125;826.0;11;0;0 
204667;24361;23.075048828125002;826.0;12;0;0 
235186;30517;23.099438476562504;274.0;13;0;0 
65342743;65107556;23.08724365234375;826.0;14;0;0 
65382974;40230;23.093341064453128;826.0;15;0;0 
time_ms;diff_ms;c;cust_count;iteration;min_c;max_c
21036;21035;0.1;1000.0;1;0;0 
23718;2680;50.05;0.0;2;0;0 
27488;3769;25.075;209.0;3;0;0 
66866;39377;12.5875;1000.0;4;0;0 
87843;20975;18.83125;938.0;5;0;0 
108946;21102;21.953125;885.0;6;0;0 
113080;4133;23.5140625;264.0;7;0;0 
133709;20628;22.73359375;839.0;8;0;0 
138727;5016;23.123828125000003;264.0;9;0;0 
159580;20853;22.9287109375;826.0;10;0;0 
180605;21023;23.02626953125;826.0;11;0;0 
201346;20740;23.075048828125002;826.0;12;0;0 
206769;5422;23.099438476562504;274.0;13;0;0 
227728;20957;23.08724365234375;826.0;14;0;0 
248699;20969;23.093341064453128;826.0;15;0;0 
time_ms;diff_ms;c;cust_count;iteration;min_c;max_c
21379;21379;0.1;1000.0;1;0;0 
24552;3171;50.05;0.0;2;0;0 
29021;4469;25.075;209.0;3;0;0 
50205;21182;12.5875;1000.0;4;0;0 
75829;25623;18.83125;938.0;5;0;0 
97206;21376;21.953125;885.0;6;0;0 
101357;4149;23.5140625;264.0;7;0;0 
122054;20696;22.73359375;839.0;8;0;0 
127019;4965;23.123828125000003;264.0;9;0;0 
147787;20766;22.9287109375;826.0;10;0;0 
168616;20828;23.02626953125;826.0;11;0;0 
189514;20897;23.075048828125002;826.0;12;0;0 
194962;5446;23.099438476562504;274.0;13;0;0 
216029;21065;23.08724365234375;826.0;14;0;0 
236989;20958;23.093341064453128;826.0;15;0;0 
time_ms;diff_ms;c;cust_count;iteration;min_c;max_c
21218;21218;0.1;1000.0;1;0;0 
24052;2832;50.05;0.0;2;0;0 
27769;3717;25.075;209.0;3;0;0 
48669;20898;12.5875;1000.0;4;0;0 
69714;21044;18.83125;938.0;5;0;0 
92467;22751;21.953125;885.0;6;0;0 
97022;4553;23.5140625;264.0;7;0;0 
121195;24173;22.73359375;839.0;8;0;0 
126785;5589;23.123828125000003;264.0;9;0;0 
147861;21075;22.9287109375;826.0;10;0;0 
168881;21019;23.02626953125;826.0;11;0;0 
189906;21024;23.075048828125002;826.0;12;0;0 
195381;5473;23.099438476562504;274.0;13;0;0 
216301;20919;23.08724365234375;826.0;14;0;0 
237555;21252;23.093341064453128;826.0;15;0;0 
time_ms;diff_ms;c;cust_count;iteration;min_c;max_c
21017;21017;0.1;1000.0;1;0;0 
23903;2884;50.05;0.0;2;0;0 
27660;3756;25.075;209.0;3;0;0 
48623;20962;12.5875;1000.0;4;0;0 
69511;20886;18.83125;938.0;5;0;0 
90711;21199;21.953125;885.0;6;0;0 
94966;4254;23.5140625;264.0;7;0;0 
116167;21199;22.73359375;839.0;8;0;0 
121194;5025;23.123828125000003;264.0;9;0;0 
142269;21074;22.9287109375;826.0;10;0;0 
164698;22427;23.02626953125;826.0;11;0;0 
187612;22913;23.075048828125002;826.0;12;0;0 
193485;5871;23.099438476562504;274.0;13;0;0 
284276;90791;23.08724365234375;826.0;14;0;0 
320427;36149;23.093341064453128;826.0;15;0;0 
time_ms;diff_ms;c;cust_count;iteration;min_c;max_c
23534;23534;0.1;1000.0;1;0;0 
26998;3463;50.05;0.0;2;0;0 
31459;4459;25.075;209.0;3;0;0 
55997;24537;12.5875;1000.0;4;0;0 
77822;21824;18.83125;938.0;5;0;0 
99191;21368;21.953125;885.0;6;0;0 
103400;4207;23.5140625;264.0;7;0;0 
124734;21333;22.73359375;839.0;8;0;0 
129768;5033;23.123828125000003;264.0;9;0;0 
151077;21308;22.9287109375;826.0;10;0;0 
172190;21112;23.02626953125;826.0;11;0;0 
193518;21326;23.075048828125002;826.0;12;0;0 
199009;5491;23.099438476562504;274.0;13;0;0 
220188;21178;23.08724365234375;826.0;14;0;0 
241487;21297;23.093341064453128;826.0;15;0;0 
